"","File","Tone","Time","Word","Syllable","language","talker","utt","condition","gf"
"83","CHO-P10-target15.wav","L",0.329059827281922,"laavanya","laa","Chodri","P10","target15","subjFoc","subject"
"84","CHO-P10-target15.wav","H",0.601019560045707,"laavanya","ya","Chodri","P10","target15","subjFoc","subject"
"85","CHO-P10-target15.wav","L",0.896911749292705,"kheDvaanu","kheD","Chodri","P10","target15","subjFoc","predicate"
"86","CHO-P10-target15.wav","H",1.14058766984906,"kheDvaanu","nu","Chodri","P10","target15","subjFoc","predicate"
"87","CHO-P10-target16.wav","L",0.524684524949008,"laavanya","laa","Chodri","P10","target16","predFoc","subject"
"88","CHO-P10-target16.wav","H",0.792350292392312,"laavanya","ya","Chodri","P10","target16","predFoc","subject"
"89","CHO-P10-target16.wav","L",1.02922486180844,"nedvaanu","ned","Chodri","P10","target16","predFoc","predicate"
"90","CHO-P10-target16.wav","H",1.23746629115965,"nedvaanu","nu","Chodri","P10","target16","predFoc","predicate"
"91","CHO-P10-target2.wav","L",0.267173147498606,"laavanya","laa","Chodri","P10","target2","predFoc","subject"
"92","CHO-P10-target2.wav","H",0.464665137095715,"laavanya","van","Chodri","P10","target2","predFoc","subject"
"93","CHO-P10-target2.wav","L",0.732050993075983,"kasrat","kas","Chodri","P10","target2","predFoc","predicate"
"94","CHO-P10-target2.wav","H",0.865165794673029,"kasrat","rat","Chodri","P10","target2","predFoc","predicate"
"95","CHO-P10-target3.wav","L",0.314272995986794,"ananyaa","a","Chodri","P10","target3","subjFoc","subject"
"96","CHO-P10-target3.wav","H",0.617925332040956,"ananyaa","nan","Chodri","P10","target3","subjFoc","subject"
"97","CHO-P10-target3.wav","L",0.833349003093993,"nedvaanu","ned","Chodri","P10","target3","subjFoc","predicate"
"98","CHO-P10-target3.wav","H",1.10528624504022,"nedvaanu","nu","Chodri","P10","target3","subjFoc","predicate"
"99","CHO-P10-target4.wav","L",0.263058312824493,"ananyaa","a","Chodri","P10","target4","predFoc","subject"
"100","CHO-P10-target4.wav","H",0.524012261163202,"ananyaa","nan","Chodri","P10","target4","predFoc","subject"
"101","CHO-P10-target4.wav","L",0.717187883552813,"aaraam","aa","Chodri","P10","target4","predFoc","predicate"
"102","CHO-P10-target4.wav","H",0.888563370884717,"aaraam","raam","Chodri","P10","target4","predFoc","predicate"
"103","CHO-P10-target5.wav","L",0.401165791909817,"laavanya","laa","Chodri","P10","target5","subjFoc","subject"
"104","CHO-P10-target5.wav","H",0.644512843924751,"laavanya","van","Chodri","P10","target5","subjFoc","subject"
"105","CHO-P10-target5.wav","L",0.902087067016334,"kasrat","kas","Chodri","P10","target5","subjFoc","predicate"
"106","CHO-P10-target5.wav","H",1.08023898494125,"kasrat","rat","Chodri","P10","target5","subjFoc","predicate"
"107","CHO-P10-target6.wav","L",0.343866213151928,"ananyaa","a","Chodri","P10","target6","predFoc","subject"
"108","CHO-P10-target6.wav","H",0.682973392581982,"ananyaa","yaa","Chodri","P10","target6","predFoc","subject"
"109","CHO-P10-target6.wav","L",0.932877824148566,"nedvaanu","ned","Chodri","P10","target6","predFoc","predicate"
"110","CHO-P10-target6.wav","H",1.14396935856976,"nedvaanu","nu","Chodri","P10","target6","predFoc","predicate"
"111","CHO-P10-target7.wav","L",0.39796647040609,"laavanya","laa","Chodri","P10","target7","subjFoc","subject"
"112","CHO-P10-target7.wav","H",0.582979922994631,"laavanya","van","Chodri","P10","target7","subjFoc","subject"
"113","CHO-P10-target7.wav","L",0.753272555664479,"aaraam","aa","Chodri","P10","target7","subjFoc","predicate"
"114","CHO-P10-target7.wav","H",0.953176910949021,"aaraam","raam","Chodri","P10","target7","subjFoc","predicate"
"115","CHO-P10-target8.wav","L",0.171252487336766,"ananyaa","a","Chodri","P10","target8","predFoc","subject"
"116","CHO-P10-target8.wav","H",0.438533537274012,"ananyaa","nan","Chodri","P10","target8","predFoc","subject"
"118","CHO-P10-target8.wav","H",1.01224003758673,"kaam","kaam","Chodri","P10","target8","predFoc","other"
"119","CHO-P10-target9.wav","L",0.904243631165415,"laavanya","laa","Chodri","P10","target9","subjFoc","subject"
"120","CHO-P10-target9.wav","H",1.07106196858043,"laavanya","van","Chodri","P10","target9","subjFoc","subject"
"121","CHO-P10-target9.wav","L",1.31298493480432,"nedvaanu","ned","Chodri","P10","target9","subjFoc","predicate"
"122","CHO-P10-target9.wav","H",1.49823652416714,"nedvaanu","vaa","Chodri","P10","target9","subjFoc","predicate"
"123","CHO-P11-target1.wav","L",0.190640997546974,"ananyaa","a","Chodri","P11","target1","subjFoc","subject"
"124","CHO-P11-target1.wav","H",0.534363985327705,"ananyaa","yaa","Chodri","P11","target1","subjFoc","subject"
"125","CHO-P11-target1.wav","L",0.725809745986545,"kheDvaanu","kheD","Chodri","P11","target1","subjFoc","predicate"
"126","CHO-P11-target1.wav","H",0.920516284399141,"kheDvaanu","vaa","Chodri","P11","target1","subjFoc","predicate"
"127","CHO-P11-target10.wav","L",0.143764443216181,"laavanya","laa","Chodri","P11","target10","predFoc","subject"
"128","CHO-P11-target10.wav","H",0.423986912632018,"laavanya","ya","Chodri","P11","target10","predFoc","subject"
"129","CHO-P11-target10.wav","L",0.606536647892214,"aaraam","aa","Chodri","P11","target10","predFoc","predicate"
"130","CHO-P11-target10.wav","H",0.728036686185536,"aaraam","raam","Chodri","P11","target10","predFoc","predicate"
"131","CHO-P11-target11.wav","L",0.271369185500858,"ananyaa","a","Chodri","P11","target11","subjFoc","subject"
"132","CHO-P11-target11.wav","H",0.491980756606155,"ananyaa","nan","Chodri","P11","target11","subjFoc","subject"
"133","CHO-P11-target11.wav","L",0.718396266220953,"kasrat","kas","Chodri","P11","target11","subjFoc","predicate"
"134","CHO-P11-target11.wav","H",0.951977984074696,"kasrat","rat","Chodri","P11","target11","subjFoc","predicate"
"135","CHO-P11-target12.wav","L",0.154552710416795,"laavanya","laa","Chodri","P11","target12","predFoc","subject"
"136","CHO-P11-target12.wav","H",0.490159553703967,"laavanya","ya","Chodri","P11","target12","predFoc","subject"
"137","CHO-P11-target12.wav","L",0.714337838364094,"kheDvaanu","kheD","Chodri","P11","target12","predFoc","predicate"
"138","CHO-P11-target12.wav","H",0.915871851846431,"kheDvaanu","nu","Chodri","P11","target12","predFoc","predicate"
"143","CHO-P11-target14.wav","L",0.168508651672091,"ananyaa","a","Chodri","P11","target14","predFoc","subject"
"144","CHO-P11-target14.wav","H",0.479468997765503,"ananyaa","yaa","Chodri","P11","target14","predFoc","subject"
"145","CHO-P11-target14.wav","L",0.599136013756869,"kasrat","kas","Chodri","P11","target14","predFoc","predicate"
"146","CHO-P11-target14.wav","H",0.850844496814207,"kasrat","rat","Chodri","P11","target14","predFoc","predicate"
"147","CHO-P11-target15.wav","L",0.275638230001171,"laavanya","laa","Chodri","P11","target15","subjFoc","subject"
"148","CHO-P11-target15.wav","H",0.56908996867541,"laavanya","ya","Chodri","P11","target15","subjFoc","subject"
"149","CHO-P11-target15.wav","L",0.770930701093803,"kheDvaanu","kheD","Chodri","P11","target15","subjFoc","predicate"
"150","CHO-P11-target15.wav","H",0.979273543099315,"kheDvaanu","nu","Chodri","P11","target15","subjFoc","predicate"
"151","CHO-P11-target16.wav","L",0.258902154299534,"laavanya","laa","Chodri","P11","target16","predFoc","subject"
"152","CHO-P11-target16.wav","H",0.505978041990172,"laavanya","van","Chodri","P11","target16","predFoc","subject"
"153","CHO-P11-target16.wav","L",0.784694632946212,"nedvaanu","ned","Chodri","P11","target16","predFoc","predicate"
"154","CHO-P11-target16.wav","H",0.981373076071758,"nedvaanu","vaa","Chodri","P11","target16","predFoc","predicate"
"155","CHO-P11-target2.wav","L",0.235060767751156,"laavanya","laa","Chodri","P11","target2","predFoc","subject"
"156","CHO-P11-target2.wav","H",0.56264593291096,"laavanya","ya","Chodri","P11","target2","predFoc","subject"
"157","CHO-P11-target2.wav","L",0.696092751280061,"kasrat","kas","Chodri","P11","target2","predFoc","predicate"
"158","CHO-P11-target2.wav","H",1.01043780619695,"kasrat","rat","Chodri","P11","target2","predFoc","predicate"
"159","CHO-P11-target3.wav","L",0.1505426881935,"ananyaa","a","Chodri","P11","target3","subjFoc","subject"
"160","CHO-P11-target3.wav","H",0.494235930085869,"ananyaa","yaa","Chodri","P11","target3","subjFoc","subject"
"161","CHO-P11-target3.wav","L",0.702130653986245,"nedvaanu","ned","Chodri","P11","target3","subjFoc","predicate"
"162","CHO-P11-target3.wav","H",0.96773289625081,"nedvaanu","nu","Chodri","P11","target3","subjFoc","predicate"
"163","CHO-P11-target4.wav","L",0.224219855338874,"ananyaa","a","Chodri","P11","target4","predFoc","subject"
"164","CHO-P11-target4.wav","H",0.490736679747494,"ananyaa","nan","Chodri","P11","target4","predFoc","subject"
"165","CHO-P11-target4.wav","L",0.739130646512097,"aaraam","aa","Chodri","P11","target4","predFoc","predicate"
"166","CHO-P11-target4.wav","H",0.943686909632813,"aaraam","raam","Chodri","P11","target4","predFoc","predicate"
"167","CHO-P11-target5.wav","L",0.269084838390793,"laavanya","laa","Chodri","P11","target5","subjFoc","subject"
"168","CHO-P11-target5.wav","H",0.631464482833261,"laavanya","ya","Chodri","P11","target5","subjFoc","subject"
"169","CHO-P11-target5.wav","L",0.732462585034014,"kasrat","kas","Chodri","P11","target5","subjFoc","predicate"
"170","CHO-P11-target5.wav","H",0.974221205555384,"kasrat","rat","Chodri","P11","target5","subjFoc","predicate"
"171","CHO-P11-target6.wav","L",0.348719869950146,"ananyaa","nan","Chodri","P11","target6","predFoc","subject"
"172","CHO-P11-target6.wav","H",0.520396391586962,"ananyaa","nan","Chodri","P11","target6","predFoc","subject"
"173","CHO-P11-target6.wav","L",0.752162481310972,"nedvaanu","ned","Chodri","P11","target6","predFoc","predicate"
"174","CHO-P11-target6.wav","H",0.993328754551178,"nedvaanu","vaa","Chodri","P11","target6","predFoc","predicate"
"175","CHO-P11-target7.wav","L",0.82405737903239,"laavanya","laa","Chodri","P11","target7","subjFoc","subject"
"176","CHO-P11-target7.wav","H",1.12299757424365,"laavanya","ya","Chodri","P11","target7","subjFoc","subject"
"177","CHO-P11-target7.wav","L",1.22464853277682,"aaraam","aa","Chodri","P11","target7","subjFoc","predicate"
"178","CHO-P11-target7.wav","H",1.34144661489054,"aaraam","raam","Chodri","P11","target7","subjFoc","predicate"
"179","CHO-P11-target8.wav","L",0.0727551020408164,"ananyaa","a","Chodri","P11","target8","predFoc","subject"
"180","CHO-P11-target8.wav","H",0.38850754060615,"ananyaa","yaa","Chodri","P11","target8","predFoc","subject"
"181","CHO-P11-target8.wav","L",0.674193057602732,"kheDvaanu","kheD","Chodri","P11","target8","predFoc","predicate"
"182","CHO-P11-target8.wav","H",0.853125993428455,"kheDvaanu","nu","Chodri","P11","target8","predFoc","predicate"
"183","CHO-P11-target9.wav","L",0.145742860041409,"laavanya","laa","Chodri","P11","target9","subjFoc","subject"
"184","CHO-P11-target9.wav","H",0.490932385577161,"laavanya","ya","Chodri","P11","target9","subjFoc","subject"
"185","CHO-P11-target9.wav","L",0.723838573552382,"nedvaanu","ned","Chodri","P11","target9","subjFoc","predicate"
"186","CHO-P11-target9.wav","H",0.923482333644694,"nedvaanu","nu","Chodri","P11","target9","subjFoc","predicate"
"187","CHO-P12-target1.wav","L",0.542882423584758,"ananyaa","a","Chodri","P12","target1","subjFoc","subject"
"188","CHO-P12-target1.wav","H",0.914893369000054,"ananyaa","yaa","Chodri","P12","target1","subjFoc","subject"
"189","CHO-P12-target1.wav","L",1.17809548569993,"kheDvaanu","kheD","Chodri","P12","target1","subjFoc","predicate"
"190","CHO-P12-target1.wav","H",1.43954100648393,"kheDvaanu","nu","Chodri","P12","target1","subjFoc","predicate"
"191","CHO-P12-target10.wav","L",0.41802208442738,"laavanya","laa","Chodri","P12","target10","predFoc","subject"
"192","CHO-P12-target10.wav","H",0.701687743579502,"laavanya","ya","Chodri","P12","target10","predFoc","subject"
"193","CHO-P12-target10.wav","L",0.886826084152249,"aaraam","aa","Chodri","P12","target10","predFoc","predicate"
"194","CHO-P12-target10.wav","H",1.03645805708632,"aaraam","raam","Chodri","P12","target10","predFoc","predicate"
"195","CHO-P12-target11.wav","L",0.385519960633274,"ananyaa","nan","Chodri","P12","target11","subjFoc","subject"
"196","CHO-P12-target11.wav","H",0.6826693136856,"ananyaa","yaa","Chodri","P12","target11","subjFoc","subject"
"197","CHO-P12-target11.wav","L",0.835263038548753,"kasrat","kas","Chodri","P12","target11","subjFoc","predicate"
"198","CHO-P12-target11.wav","H",0.944263038548753,"kasrat","rat","Chodri","P12","target11","subjFoc","predicate"
"199","CHO-P12-target12.wav","L",0.37057672159294,"laavanya","van","Chodri","P12","target12","predFoc","subject"
"200","CHO-P12-target12.wav","H",0.644141802746168,"laavanya","ya","Chodri","P12","target12","predFoc","subject"
"201","CHO-P12-target12.wav","L",0.988758621016552,"kheDvaanu","vaa","Chodri","P12","target12","predFoc","predicate"
"202","CHO-P12-target12.wav","H",1.19176612517182,"kheDvaanu","nu","Chodri","P12","target12","predFoc","predicate"
"203","CHO-P12-target13.wav","L",0.391601745467662,"ananyaa","nan","Chodri","P12","target13","subjFoc","subject"
"204","CHO-P12-target13.wav","H",0.492936861604994,"ananyaa","nan","Chodri","P12","target13","subjFoc","subject"
"205","CHO-P12-target13.wav","L",0.721728303526169,"aaraam","raam","Chodri","P12","target13","subjFoc","predicate"
"206","CHO-P12-target13.wav","H",0.859630447944653,"aaraam","raam","Chodri","P12","target13","subjFoc","predicate"
"207","CHO-P12-target14.wav","L",0.321607922834474,"ananyaa","nan","Chodri","P12","target14","predFoc","subject"
"208","CHO-P12-target14.wav","H",0.433604812023196,"ananyaa","nan","Chodri","P12","target14","predFoc","subject"
"209","CHO-P12-target14.wav","L",0.795727891156463,"kasrat","kas","Chodri","P12","target14","predFoc","predicate"
"210","CHO-P12-target14.wav","H",0.98735058203417,"kasrat","rat","Chodri","P12","target14","predFoc","predicate"
"211","CHO-P12-target15.wav","L",0.527527795194986,"laavanya","van","Chodri","P12","target15","subjFoc","subject"
"212","CHO-P12-target15.wav","H",0.814700767859301,"laavanya","ya","Chodri","P12","target15","subjFoc","subject"
"213","CHO-P12-target15.wav","L",1.07996460248119,"kheDvaanu","kheD","Chodri","P12","target15","subjFoc","predicate"
"214","CHO-P12-target15.wav","H",1.35730641664314,"kheDvaanu","nu","Chodri","P12","target15","subjFoc","predicate"
"215","CHO-P12-target16.wav","L",0.513341430960577,"laavanya","van","Chodri","P12","target16","predFoc","subject"
"216","CHO-P12-target16.wav","H",0.743180923863875,"laavanya","ya","Chodri","P12","target16","predFoc","subject"
"217","CHO-P12-target16.wav","L",1.0395771066682,"nedvaanu","ned","Chodri","P12","target16","predFoc","predicate"
"218","CHO-P12-target16.wav","H",1.25624626903768,"nedvaanu","nu","Chodri","P12","target16","predFoc","predicate"
"219","CHO-P12-target2.wav","L",0.392395239821343,"laavanya","laa","Chodri","P12","target2","predFoc","subject"
"220","CHO-P12-target2.wav","H",0.680413034338035,"laavanya","ya","Chodri","P12","target2","predFoc","subject"
"221","CHO-P12-target2.wav","L",0.851179340904906,"kasrat","kas","Chodri","P12","target2","predFoc","predicate"
"222","CHO-P12-target2.wav","H",1.01720213895603,"kasrat","rat","Chodri","P12","target2","predFoc","predicate"
"223","CHO-P12-target3.wav","L",0.53573757194992,"ananyaa","nan","Chodri","P12","target3","subjFoc","subject"
"224","CHO-P12-target3.wav","H",0.831947344294376,"ananyaa","yaa","Chodri","P12","target3","subjFoc","subject"
"225","CHO-P12-target3.wav","L",1.0241907412966,"nedvaanu","ned","Chodri","P12","target3","subjFoc","predicate"
"226","CHO-P12-target3.wav","H",1.2759468809761,"nedvaanu","nu","Chodri","P12","target3","subjFoc","predicate"
"227","CHO-P12-target4.wav","L",0.528284839702027,"ananyaa","nan","Chodri","P12","target4","predFoc","subject"
"228","CHO-P12-target4.wav","H",0.83074337345642,"ananyaa","yaa","Chodri","P12","target4","predFoc","subject"
"229","CHO-P12-target4.wav","L",1.00086086273688,"aaraam","aa","Chodri","P12","target4","predFoc","predicate"
"230","CHO-P12-target4.wav","H",1.19475748011464,"aaraam","raam","Chodri","P12","target4","predFoc","predicate"
"231","CHO-P12-target5.wav","L",0.376409710430826,"laavanya","van","Chodri","P12","target5","subjFoc","subject"
"232","CHO-P12-target5.wav","H",0.613503439812414,"laavanya","ya","Chodri","P12","target5","subjFoc","subject"
"233","CHO-P12-target5.wav","L",0.790949520544659,"kasrat","kas","Chodri","P12","target5","subjFoc","predicate"
"234","CHO-P12-target5.wav","H",1.03166035397046,"kasrat","rat","Chodri","P12","target5","subjFoc","predicate"
"235","CHO-P12-target6.wav","L",0.293943029175619,"ananyaa","a","Chodri","P12","target6","predFoc","subject"
"236","CHO-P12-target6.wav","H",0.674806200593094,"ananyaa","yaa","Chodri","P12","target6","predFoc","subject"
"237","CHO-P12-target6.wav","L",0.933794465739672,"nedvaanu","ned","Chodri","P12","target6","predFoc","predicate"
"238","CHO-P12-target6.wav","H",1.2249177242151,"nedvaanu","nu","Chodri","P12","target6","predFoc","predicate"
"239","CHO-P12-target7.wav","L",0.233281785807091,"laavanya","laa","Chodri","P12","target7","subjFoc","subject"
"240","CHO-P12-target7.wav","H",0.68050901435954,"laavanya","ya","Chodri","P12","target7","subjFoc","subject"
"241","CHO-P12-target7.wav","L",0.823080318328928,"aaraam","aa","Chodri","P12","target7","subjFoc","predicate"
"242","CHO-P12-target7.wav","H",0.97531988771823,"aaraam","raam","Chodri","P12","target7","subjFoc","predicate"
"243","CHO-P12-target8.wav","L",0.238352486822259,"ananyaa","nan","Chodri","P12","target8","predFoc","subject"
"244","CHO-P12-target8.wav","H",0.579747761072611,"ananyaa","yaa","Chodri","P12","target8","predFoc","subject"
"245","CHO-P12-target8.wav","L",0.833041029064808,"kheDvaanu","kheD","Chodri","P12","target8","predFoc","predicate"
"246","CHO-P12-target8.wav","H",1.09734704783927,"kheDvaanu","nu","Chodri","P12","target8","predFoc","predicate"
"247","CHO-P12-target9.wav","L",0.723710344813079,"laavanya","van","Chodri","P12","target9","subjFoc","subject"
"248","CHO-P12-target9.wav","H",0.996044186556111,"laavanya","ya","Chodri","P12","target9","subjFoc","subject"
"249","CHO-P12-target9.wav","L",1.16281863858613,"nedvaanu","ned","Chodri","P12","target9","subjFoc","predicate"
"250","CHO-P12-target9.wav","H",1.45945725701092,"nedvaanu","nu","Chodri","P12","target9","subjFoc","predicate"
"251","CHO-P3-target1.wav","L",0.304197525394636,"ananyaa","nan","Chodri","P3","target1","subjFoc","subject"
"252","CHO-P3-target1.wav","H",0.510377414648121,"ananyaa","nan","Chodri","P3","target1","subjFoc","subject"
